customer_id,region,segment,category,order_date,order_id,sales,discount,profit
CUST-001,East,Corporate,Furniture,2026-05-18,ORD-0146,477.24,0.111,70.29
CUST-002,East,Corporate,Technology,2026-05-18,ORD-0147,306.49,0.183,76.15
CUST-003,East,Corporate,Technology,2026-05-18,ORD-0148,422.39,0.167,85.22
CUST-014,South,Consumer,Office Supplies,2026-05-25,ORD-0054,101.9,0.163,19.45
CUST-005,Central,Home Office,Office Supplies,2026-05-25,ORD-0053,672.08,0.217,60.74
CUST-001,East,Corporate,Technology,2026-05-25,ORD-0149,414.03,0.195,62.25
CUST-002,East,Corporate,Office Supplies,2026-05-25,ORD-0150,402.58,0.102,83.98
CUST-003,East,Corporate,Technology,2026-05-25,ORD-0151,438.78,0.142,93.61
CUST-010,South,Consumer,Technology,2026-06-01,ORD-0055,391.04,0.063,64.18
CUST-003,East,Corporate,Office Supplies,2026-06-01,ORD-0154,355.68,0.19,71.87
CUST-002,East,Corporate,Technology,2026-06-01,ORD-0153,336.85,0.13,80.58
CUST-015,West,Consumer,Office Supplies,2026-06-01,ORD-0056,162.9,0.095,13.59
CUST-001,East,Corporate,Technology,2026-06-01,ORD-0152,367.34,0.108,44.02
CUST-001,East,Corporate,Office Supplies,2026-06-08,ORD-0155,470.7,0.14,102.63
CUST-003,East,Corporate,Furniture,2026-06-08,ORD-0157,437.27,0.121,105.33
CUST-006,Central,Home Office,Furniture,2026-06-08,ORD-0058,256.35,0.062,42.13
CUST-010,South,Consumer,Furniture,2026-06-08,ORD-0057,761.05,0.094,140.7
CUST-002,East,Corporate,Furniture,2026-06-08,ORD-0156,349.1,0.114,76.77
CUST-003,East,Corporate,Furniture,2026-06-15,ORD-0060,705.81,0.033,58.8
CUST-003,East,Corporate,Office Supplies,2026-06-15,ORD-0160,410.02,0.185,46.19
CUST-002,East,Corporate,Technology,2026-06-15,ORD-0159,463.01,0.112,48.75
CUST-009,West,Home Office,Furniture,2026-06-15,ORD-0059,697.24,0.145,87.1
CUST-001,East,Corporate,Furniture,2026-06-15,ORD-0158,353.71,0.17,42.24
CUST-003,East,Corporate,Technology,2026-06-22,ORD-0163,358.59,0.176,75.69
CUST-005,Central,Home Office,Technology,2026-06-22,ORD-0062,762.89,0.155,121.07
CUST-003,East,Corporate,Furniture,2026-06-22,ORD-0063,804.82,0.094,59.72
CUST-001,East,Corporate,Technology,2026-06-22,ORD-0161,354.85,0.176,52.13
CUST-002,East,Corporate,Technology,2026-06-22,ORD-0061,146.64,0.227,18.56
CUST-002,East,Corporate,Office Supplies,2026-06-22,ORD-0162,425.78,0.145,97.65
CUST-002,East,Corporate,Furniture,2026-06-29,ORD-0165,377.5,0.103,78.16
CUST-010,South,Consumer,Technology,2026-06-29,ORD-0064,716.71,0.206,156.64
CUST-006,Central,Home Office,Office Supplies,2026-06-29,ORD-0065,132.65,0.13,31.75
CUST-013,East,Corporate,Furniture,2026-06-29,ORD-0066,298.31,0.134,70.73
CUST-001,East,Corporate,Office Supplies,2026-06-29,ORD-0164,375.65,0.172,76.92
CUST-003,East,Corporate,Technology,2026-06-29,ORD-0166,340.95,0.173,48.35
CUST-015,West,Consumer,Furniture,2026-07-06,ORD-0069,717.23,0.099,68.93
CUST-012,East,Home Office,Office Supplies,2026-07-06,ORD-0068,671.2,0.249,175.02
CUST-014,South,Consumer,Furniture,2026-07-06,ORD-0067,183.11,0.046,38.66
CUST-003,East,Corporate,Technology,2026-07-06,ORD-0169,354.22,0.117,60.17
CUST-002,East,Corporate,Office Supplies,2026-07-06,ORD-0168,361.1,0.108,48.0
CUST-001,East,Corporate,Office Supplies,2026-07-06,ORD-0167,393.86,0.186,56.4
CUST-007,South,Consumer,Office Supplies,2026-07-13,ORD-0072,397.77,0.137,91.65
CUST-014,South,Consumer,Technology,2026-07-13,ORD-0070,701.31,0.18,113.05
CUST-003,East,Corporate,Office Supplies,2026-07-13,ORD-0172,324.97,0.188,55.61
CUST-002,East,Corporate,Office Supplies,2026-07-13,ORD-0171,354.6,0.157,39.45
CUST-001,East,Corporate,Furniture,2026-07-13,ORD-0170,342.88,0.174,81.74
CUST-003,East,Corporate,Office Supplies,2026-07-13,ORD-0071,424.21,0.008,110.75
CUST-002,East,Corporate,Office Supplies,2026-07-20,ORD-0174,473.41,0.101,84.39
CUST-001,East,Corporate,Technology,2026-07-20,ORD-0173,460.92,0.107,105.92
CUST-003,East,Corporate,Technology,2026-07-20,ORD-0175,373.8,0.176,52.23
CUST-006,Central,Home Office,Furniture,2026-07-20,ORD-0074,703.51,0.248,160.52
CUST-003,East,Corporate,Furniture,2026-07-20,ORD-0075,756.77,0.23,55.21
CUST-006,Central,Home Office,Office Supplies,2026-07-20,ORD-0073,761.13,0.23,64.28
CUST-003,East,Corporate,Furniture,2026-07-27,ORD-0178,330.67,0.108,61.23
CUST-002,East,Corporate,Office Supplies,2026-07-27,ORD-0177,493.71,0.132,78.42
CUST-001,East,Corporate,Furniture,2026-07-27,ORD-0176,462.53,0.147,77.69
CUST-011,West,Home Office,Technology,2026-07-27,ORD-0076,175.74,0.044,34.05
CUST-015,West,Consumer,Office Supplies,2026-07-27,ORD-0077,695.32,0.048,193.72
CUST-011,West,Home Office,Furniture,2026-08-03,ORD-0080,126.55,0.249,35.32
CUST-008,East,Consumer,Office Supplies,2026-08-03,ORD-0079,337.32,0.078,55.24
CUST-004,South,Corporate,Furniture,2026-08-03,ORD-0078,710.67,0.017,41.32
CUST-003,East,Corporate,Office Supplies,2026-08-03,ORD-0181,460.56,0.155,86.31
CUST-002,East,Corporate,Office Supplies,2026-08-03,ORD-0180,414.22,0.175,78.04
CUST-001,East,Corporate,Office Supplies,2026-08-03,ORD-0179,490.72,0.158,72.89
CUST-007,South,Consumer,Furniture,2026-08-10,ORD-0082,492.74,0.031,46.35
CUST-010,South,Consumer,Furniture,2026-08-10,ORD-0081,403.17,0.057,32.75
CUST-003,East,Corporate,Office Supplies,2026-08-10,ORD-0184,190.3,0.058,29.66
CUST-002,East,Corporate,Technology,2026-08-10,ORD-0183,231.7,0.054,48.67
CUST-001,East,Corporate,Furniture,2026-08-10,ORD-0182,199.09,0.055,38.4
CUST-009,West,Home Office,Technology,2026-08-10,ORD-0083,477.08,0.046,103.75
CUST-003,East,Corporate,Office Supplies,2026-08-17,ORD-0187,174.95,0.055,41.38
CUST-012,East,Home Office,Office Supplies,2026-08-17,ORD-0086,227.08,0.034,66.97
CUST-008,East,Consumer,Technology,2026-08-17,ORD-0085,519.69,0.099,139.46
CUST-004,South,Corporate,Technology,2026-08-17,ORD-0084,512.09,0.071,106.07
CUST-001,East,Corporate,Furniture,2026-08-17,ORD-0185,204.17,0.071,23.69
CUST-002,East,Corporate,Office Supplies,2026-08-17,ORD-0186,231.79,0.078,26.7
CUST-001,East,Corporate,Technology,2026-08-24,ORD-0188,154.43,0.06,19.9
CUST-002,East,Corporate,Technology,2026-08-24,ORD-0189,196.95,0.078,24.76
CUST-012,East,Home Office,Office Supplies,2026-08-24,ORD-0088,487.86,0.229,29.34
CUST-015,West,Consumer,Technology,2026-08-24,ORD-0087,269.15,0.242,27.44
CUST-003,East,Corporate,Furniture,2026-08-24,ORD-0190,198.7,0.066,42.09
